--- Sheet: Summary  ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,,
,,pit sand,0,,,,pit sand,0,
,,cement,0,,,,cement,0,
,,undercoat,0,,,,undercoat,0,
,,EPVA,0,,,,EPVA,0,
Plasterboard ceilings,,,,,Plasterboard ceilings redecor,,,,
,m2,0,,,,m2,0,,
,,Rhinobond,0,,,,Rhinobond,0,
plasterboard sheets 2400x1200 mm,,,0,,plasterboard sheets 2100x1200 mm,,,0,
,ceiling white,,0,,,ceiling white,,0,
,clout nails,,0,,,clout nails,,0,
,brandering,,0,,,brandering,,0,
,covebond,,0,,,,,,
,,,,,Cill ( quarry tiles),,,,
,,,,,,m,0,,
,,,,,,,no.,0,
,,,,,,,pit sand,0,
,,,,,,,cement,0,
,,,,,300 x 300 Vinyl tiles,,,,
,,,,,,m2,0,,
,,,,,,,tiles,0,
,,,,,,,tylon,0,
,,,,,,,tile adhesive,0,
,,,,,150 x 150 Quarry floor tiles,,,,
,,,,,,m2,0,,
,,,,,,,tiles,0,
,,,,,Wall plate,,,,
,,,,,,m,0,,
,,,,,,galvanised hoop iron ties,,0,
,,,,,,carbolineum,,0,
,,,,,Painting to metal,,,,
,,,,,,m2,0,,
,,,,,,undercoat,,0,
,,,,,,metal primer,,0,
,,,,,,high gloss,,0,
,,,,,Painting to wood,,,,
,,,,,,m2,0,,
,,,,,,undercoat,,0,
,,,,,,wood primer,,0,
,,,,,,high gloss,,0,
ROOF COVERINGS,,,,,,,,,
Concrete roof tiles,,,,,,,,,
,m2,0,,,,,,,
,,no.,0,,,,,,
Roof nails,,,,,,,,,
,m2,0,,,,,,,
,,kg,0,,,,,,
Battens,m2,0,,,,,,,
,,m,0,,,,,,
Skirting,,,,,,,,,
,m,0,,,,,,,
,varnish,,0,,,,,,
Pelmets,,,,,,,,,
,m,0,,,,,,,
,varnish,,0,,,,,,

--- Sheet: Qualifications ---
,SCHEDULE OF MATERIAL QUALIFICATIONS 
,NOTE
1),This material schedule was prepared to the highest level of accuracy that was obtainable in terms 
,of information supplied and the contribution supplied by the Architect and all the interested parties
,to the structure.
2),It should be noted with concern that material schedule accuracy depends on the information 
,supplied and cooperation of the interested parties.
3),This schedule of material remains correct if there are no changes made to the structure and the 
,material waste is maintained within the allowable range.
4),This schedule was prepared allowing a reasonable waste of between 5% and 10% depending with
,the material type and quality.
5),Provisional quantities are to be remeasured on site to determine the correct material quantity but
,if no changes to the specifications they are suppose to tally with the degree of + - 5%

--- Sheet: Foundation ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,
,SUBSTRUCTURE,,,,,,,
1,Grade 10-20,m3,10.05,,,,,
,,,sand, 7.91 ,m3,,,
,,,cement, 44.85 ,Bag,,,
,,,stone, 8.55 ,m3,,,
2,Grade 15-20,m3,1,,,,,
,,,sand, 0.84 ,m3,,,
,,,cement, 6.09 ,Bag,,,
,,,stone, 0.84 ,m3,,,
3,Grade 20-20,m3,0,,,,,
,,,sand, -   ,m3,,,
,,,cement, -   ,Bag,,,
